"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.107","taurinus.sui-inter.net","TCP","66","57174  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.008267","taurinus.sui-inter.net","192.168.1.107","TCP","66","443  >  57174 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"3","0.008390","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"4","0.009654","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","712","Client Hello (SNI=www.kbw.ch)"
"5","0.015936","taurinus.sui-inter.net","192.168.1.107","TCP","54","443  >  57174 [ACK] Seq=1 Ack=659 Win=30592 Len=0"
"6","0.018884","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"7","0.018884","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"8","0.018884","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","255","Application Data, Application Data"
"9","0.018970","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=659 Ack=3122 Win=262656 Len=0"
"10","0.127747","192.168.1.107","taurinus.sui-inter.net","TCP","66","57176  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11","0.132952","taurinus.sui-inter.net","192.168.1.107","TCP","66","443  >  57176 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"12","0.133049","192.168.1.107","taurinus.sui-inter.net","TCP","54","57176  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"13","0.134478","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","712","Client Hello (SNI=www.kbw.ch)"
"14","0.140071","taurinus.sui-inter.net","192.168.1.107","TCP","54","443  >  57176 [ACK] Seq=1 Ack=659 Win=30592 Len=0"
"15","0.141950","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"16","0.141950","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1514","Application Data"
"17","0.141950","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","255","Application Data, Application Data"
"18","0.142040","192.168.1.107","taurinus.sui-inter.net","TCP","54","57176  >  443 [ACK] Seq=659 Ack=3122 Win=262656 Len=0"
"19","0.236827","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","118","Change Cipher Spec, Application Data"
"20","0.237396","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","224","Application Data"
"21","0.242539","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","325","Application Data"
"22","0.242539","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","325","Application Data"
"23","0.242539","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","116","Application Data"
"24","0.242616","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=893 Ack=3726 Win=262144 Len=0"
"25","0.243097","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","85","Application Data"
"26","0.243139","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=893 Ack=3757 Win=262144 Len=0"
"27","0.243520","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","85","Application Data"
"28","0.274457","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","118","Change Cipher Spec, Application Data"
"29","0.275412","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","241","Application Data"
"30","0.279174","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","325","Application Data"
"31","0.279174","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","325","Application Data"
"32","0.279174","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","125","Application Data"
"33","0.279309","192.168.1.107","taurinus.sui-inter.net","TCP","54","57176  >  443 [ACK] Seq=910 Ack=3735 Win=262144 Len=0"
"34","0.280962","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","78","Application Data"
"35","0.281042","192.168.1.107","taurinus.sui-inter.net","TCP","54","57176  >  443 [FIN, ACK] Seq=934 Ack=3735 Win=262144 Len=0"
"36","0.285361","taurinus.sui-inter.net","192.168.1.107","TCP","54","443  >  57176 [FIN, ACK] Seq=3735 Ack=935 Win=31872 Len=0"
"37","0.285432","192.168.1.107","taurinus.sui-inter.net","TCP","54","57176  >  443 [ACK] Seq=935 Ack=3736 Win=262144 Len=0"
"38","0.290070","taurinus.sui-inter.net","192.168.1.107","TCP","54","443  >  57174 [ACK] Seq=3757 Ack=924 Win=31872 Len=0"
"39","1.236802","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","391","Application Data"
"40","1.246294","taurinus.sui-inter.net","192.168.1.107","TCP","60","443  >  57174 [ACK] Seq=3757 Ack=1261 Win=33152 Len=0"
"41","1.771510","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=3757 Ack=1261 Win=33152 Len=1460 [TCP segment of a reassembled PDU]"
"42","1.771510","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=5217 Ack=1261 Win=33152 Len=1460 [TCP segment of a reassembled PDU]"
"43","1.771510","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=6677 Ack=1261 Win=33152 Len=1460 [TCP segment of a reassembled PDU]"
"44","1.771510","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","113","Application Data"
"45","1.771510","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","85","Application Data"
"46","1.771510","taurinus.sui-inter.net","192.168.1.107","TCP","85","[TCP Retransmission] 443  >  57174 [PSH, ACK] Seq=8196 Ack=1261 Win=33152 Len=31"
"47","1.771673","192.168.1.107","taurinus.sui-inter.net","TCP","66","57174  >  443 [ACK] Seq=1261 Ack=8227 Win=262656 Len=0 SLE=8196 SRE=8227"
"48","1.856051","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","228","Application Data"
"49","1.857429","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","161","Application Data"
"50","1.857732","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","145","Application Data"
"51","1.862067","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","89","Application Data"
"52","1.862539","taurinus.sui-inter.net","192.168.1.107","TCP","60","443  >  57174 [ACK] Seq=8227 Ack=1435 Win=34560 Len=0"
"53","1.862539","taurinus.sui-inter.net","192.168.1.107","TCP","60","443  >  57174 [ACK] Seq=8227 Ack=1542 Win=34560 Len=0"
"54","1.865879","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","89","Application Data"
"55","1.866143","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","89","Application Data"
"56","1.866438","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","143","Application Data"
"57","1.867925","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","89","Application Data"
"58","1.876558","taurinus.sui-inter.net","192.168.1.107","TCP","60","443  >  57174 [ACK] Seq=8227 Ack=1633 Win=34560 Len=0"
"59","1.876558","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","1335","Application Data"
"60","1.876558","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=9508 Ack=1633 Win=34560 Len=1460 [TCP segment of a reassembled PDU]"
"61","1.876558","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","185","Application Data"
"62","1.876558","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=11099 Ack=1633 Win=34560 Len=1460 [TCP segment of a reassembled PDU]"
"63","1.876558","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=12559 Ack=1633 Win=34560 Len=1460 [TCP segment of a reassembled PDU]"
"64","1.876558","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=14019 Ack=1633 Win=34560 Len=1460 [TCP segment of a reassembled PDU]"
"65","1.876558","taurinus.sui-inter.net","192.168.1.107","TLSv1.3","134","Application Data"
"66","1.876558","taurinus.sui-inter.net","192.168.1.107","TCP","60","443  >  57174 [ACK] Seq=15559 Ack=1827 Win=34560 Len=0"
"67","1.876796","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=1862 Ack=15559 Win=262656 Len=0"
"68","1.909347","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","189","Application Data"
"69","1.909626","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","175","Application Data"
"70","1.909919","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","148","Application Data"
"71","1.910204","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","150","Application Data"
"72","1.910985","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","154","Application Data"
"73","1.911236","taurinus.sui-inter.net","192.168.1.107","TCP","60","443  >  57174 [ACK] Seq=15559 Ack=1862 Win=34560 Len=0"
"74","1.912694","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","153","Application Data"
"75","1.912973","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","150","Application Data"
"76","1.913879","taurinus.sui-inter.net","192.168.1.107","TCP","60","443  >  57174 [ACK] Seq=15559 Ack=1997 Win=35840 Len=0"
"77","1.913881","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","145","Application Data"
"78","1.913879","taurinus.sui-inter.net","192.168.1.107","TCP","60","443  >  57174 [ACK] Seq=15559 Ack=2118 Win=35840 Len=0"
"79","1.915716","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","145","Application Data"
"80","1.916308","taurinus.sui-inter.net","192.168.1.107","TCP","60","443  >  57174 [ACK] Seq=15559 Ack=2212 Win=35840 Len=0"
"81","1.916308","taurinus.sui-inter.net","192.168.1.107","TCP","60","443  >  57174 [ACK] Seq=15559 Ack=2308 Win=35840 Len=0"
"82","1.916308","taurinus.sui-inter.net","192.168.1.107","TCP","60","443  >  57174 [ACK] Seq=15559 Ack=2408 Win=35840 Len=0"
"83","1.917725","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=15559 Ack=2603 Win=35840 Len=1460 [TCP segment of a reassembled PDU]"
"84","1.917806","192.168.1.107","taurinus.sui-inter.net","TCP","54","57174  >  443 [ACK] Seq=2785 Ack=17019 Win=262656 Len=0"
"85","1.918307","192.168.1.107","taurinus.sui-inter.net","TLSv1.3","89","Application Data"
"86","1.919332","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=17019 Ack=2603 Win=35840 Len=1460 [TCP segment of a reassembled PDU]"
"87","1.919332","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=18479 Ack=2603 Win=35840 Len=1460 [TCP segment of a reassembled PDU]"
"88","1.919332","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=19939 Ack=2603 Win=35840 Len=1460 [TCP segment of a reassembled PDU]"
"89","1.919332","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=21399 Ack=2603 Win=35840 Len=1460 [TCP segment of a reassembled PDU]"
"90","1.919332","taurinus.sui-inter.net","192.168.1.107","TCP","1514","443  >  57174 [ACK] Seq=22859 Ack=2603 Win=35840 Len=1460 [TCP segment of a reassembled PDU]"
